sitio,fecha,transecto,conteo D. mexicanum,conteo E. thouarsii
PS,1,1,2,8
PS,1,2,1,4
PS,1,3,1,3
PS,1,4,0,8
PS,1,5,3,4
PS,1,6,0,1
PS,1,7,2,6
PS,1,8,1,6
PS,1,9,0,4
PS,1,10,1,5
PS,1,11,1,4
PS,1,12,0,5
PS,1,13,0,6
PS,1,14,0,8
PS,1,15,1,9
PS,1,16,0,9
PS,2,1,5,4
PS,2,2,5,5
PS,2,3,5,7
PS,2,4,0,4
PS,2,5,0,5
PS,2,6,4,5
PS,2,7,0,8
PS,2,8,0,3
PS,2,9,0,8
PS,2,10,3,3
PS,2,11,0,5
PS,2,12,0,3
PS,2,13,1,1
PS,2,14,0,5
PS,2,15,2,1
PS,2,16,0,1
PS,3,1,4,8
PS,3,2,0,5
PS,3,3,2,8
PS,3,4,0,11
PS,3,5,0,4
PS,3,6,0,5
PS,3,7,0,7
PS,3,8,0,3
PS,3,9,0,4
PS,3,10,0,5
PS,3,11,1,3
PS,3,12,0,8
PS,3,13,1,5
PS,3,14,0,4
PS,3,15,0,8
PS,3,16,0,8
PS,4,1,0,3
PS,4,2,0,4
PS,4,3,0,4
PS,4,4,1,11
PS,4,5,0,4
PS,4,6,0,6
PS,4,7,0,7
PS,4,8,0,4
PS,4,9,0,7
PS,4,10,0,8
PS,4,11,0,8
PS,4,12,1,4
PS,4,13,0,3
PS,4,14,0,3
PS,4,15,0,7
PS,4,16,0,9
PS,5,1,0,8
PS,5,2,0,7
PS,5,3,0,3
PS,5,4,0,6
PS,5,5,0,15
PS,5,6,0,2
PS,5,7,0,8
PS,5,8,0,3
PS,5,9,0,12
PS,5,10,1,7
PS,5,11,0,9
PS,5,12,0,4
PS,5,13,1,6
PS,5,14,0,8
PS,5,15,1,9
PS,5,16,0,6
PS,6,1,4,5
PS,6,2,0,7
PS,6,3,2,11
PS,6,4,0,7
PS,6,5,0,13
PS,6,6,0,4
PS,6,7,0,6
PS,6,8,0,5
PS,6,9,0,4
PS,6,10,0,1
PS,6,11,0,5
PS,6,12,0,1
PS,6,13,0,3
PS,6,14,0,5
PS,6,15,0,4
PS,6,16,0,4
PS,7,1,1,7
PS,7,2,1,5
PS,7,3,1,9
PS,7,4,0,4
PS,7,5,0,5
PS,7,6,1,8
PS,7,7,0,9
PS,7,8,1,4
PS,7,9,1,12
PS,7,10,0,1
PS,7,11,0,2
PS,7,12,1,8
PS,7,13,1,6
PS,7,14,0,4
PS,7,15,0,5
PS,7,16,1,3
PS,8,1,0,12
PS,8,2,0,3
PS,8,3,0,11
PS,8,4,1,7
PS,8,5,0,9
PS,8,6,1,5
PS,8,7,0,2
PS,8,8,1,5
PS,8,9,1,1
PS,8,10,1,7
PS,8,11,0,6
PS,8,12,0,5
PS,8,13,0,4
PS,8,14,0,9
PS,8,15,0,9
PS,8,16,0,6
PS,9,1,2,6
PS,9,2,0,4
PS,9,3,4,1
PS,9,4,0,10
PS,9,5,0,1
PS,9,6,0,3
PS,9,7,2,6
PS,9,8,0,3
PS,9,9,2,1
PS,9,10,0,10
PS,9,11,0,12
PS,9,12,0,8
PS,9,13,0,0
PS,9,14,0,9
PS,9,15,0,12
PS,9,16,0,5
PS,10,1,0,7
PS,10,2,1,8
PS,10,3,0,9
PS,10,4,0,3
PS,10,5,0,0
PS,10,6,1,3
PS,10,7,1,3
PS,10,8,0,6
PS,10,9,0,8
PS,10,10,1,7
PS,10,11,0,5
PS,10,12,1,0
PS,10,13,0,8
PS,10,14,0,6
PS,10,15,0,2
PS,10,16,1,0
PS,11,1,0,7
PS,11,2,0,8
PS,11,3,2,9
PS,11,4,0,3
PS,11,5,0,0
PS,11,6,1,3
PS,11,7,0,3
PS,11,8,0,6
PS,11,9,1,8
PS,11,10,0,7
PS,11,11,0,5
PS,11,12,0,0
PS,11,13,0,8
PS,11,14,0,0
PS,11,15,0,0
PS,11,16,0,0
PS,12,1,0,2
PS,12,2,0,2
PS,12,3,3,7
PS,12,4,0,1
PS,12,5,0,8
PS,12,6,1,1
PS,12,7,0,1
PS,12,8,1,7
PS,12,9,0,5
PS,12,10,2,6
PS,12,11,0,8
PS,12,12,0,3
PS,12,13,1,5
PS,12,14,0,7
PS,12,15,0,1
PS,12,16,1,0
PS,13,1,0,1
PS,13,2,0,7
PS,13,3,0,0
PS,13,4,0,2
PS,13,5,0,1
PS,13,6,0,0
PS,13,7,0,6
PS,13,8,0,5
PS,13,9,0,1
PS,13,10,0,6
PS,13,11,0,8
PS,13,12,0,9
PS,13,13,0,2
PS,13,14,0,7
PS,13,15,0,0
PS,13,16,0,1
